Subject,Body,Category
"Meeting Reminder","Don't forget about the team meeting scheduled for tomorrow at 10 AM in the conference room.","Reminder"
"Appointment Reminder","This is a reminder for your appointment with Dr. Smith on June 10th at 10 AM. Please arrive 15 minutes early.","Reminder"
"Project Deadline Reminder","Just a reminder that the project deadline is approaching. Please ensure all deliverables are submitted by Friday.","Reminder"
"Submission Reminder","Please submit your quarterly reports by the end of the day today.","Reminder"
"Bill Payment Reminder","This is a friendly reminder that your bill payment is due tomorrow. Please ensure the payment is made to avoid any late fees.","Reminder"
"Event Reminder","Don't forget about the annual company picnic this Saturday. We look forward to seeing you there!","Reminder"
"Training Session Reminder","This is a reminder for the training session on the new software implementation scheduled for tomorrow at 2 PM.","Reminder"
"Subscription Renewal Reminder","Your subscription is due for renewal on June 30th. Please review the details and proceed with the payment.","Reminder"
"Interview Reminder","This is a reminder for your interview scheduled for tomorrow at 11 AM. Please bring all necessary documents.","Reminder"
"Task Reminder","Please remember to complete your assigned tasks by the end of the week.","Reminder"
"Conference Call Reminder","Don't forget about the conference call with the client scheduled for 3 PM today.","Reminder"
"Performance Review Reminder","Your annual performance review meeting is scheduled for next Monday at 10 AM.","Reminder"
"Deadline Reminder","This is a reminder that the application deadline for the new project is next Friday.","Reminder"
"Holiday Reminder","Just a reminder that the office will be closed next Monday for the public holiday.","Reminder"
"Feedback Reminder","Please remember to complete the feedback survey by the end of the week.","Reminder"
"RSVP Reminder","Don't forget to RSVP for the upcoming event by this Friday.","Reminder"
"Health Checkup Reminder","This is a reminder for your health checkup appointment scheduled for next Tuesday at 9 AM.","Reminder"
"Document Submission Reminder","Please submit the required documents by the end of the day tomorrow.","Reminder"
"Maintenance Reminder","A reminder that the system maintenance is scheduled for this Saturday from 1 AM to 3 AM.","Reminder"
"Policy Review Reminder","Please review the updated policy documents by the end of the week.","Reminder"
"Special Discount Just for You!","We are offering an exclusive 30% discount on all our products for the next 24 hours. Don't miss out!","Promotion"
"Limited Time Offer","Get a 50% discount on selected items for this weekend only. Shop now and save big!","Promotion"
"Summer Sale Starts Now!","Our summer sale is live with up to 70% off on selected products. Hurry, while stocks last!","Promotion"
"New Year, New Deals","Start the new year with amazing deals! Enjoy up to 40% off site-wide.","Promotion"
"Black Friday Blowout","Unbeatable Black Friday deals with discounts up to 80%. Don't miss out on these incredible savings!","Promotion"
"Cyber Monday Specials","Cyber Monday is here with exclusive online deals and discounts up to 60%. Shop now!","Promotion"
"Holiday Savings Event","Enjoy our holiday savings event with 25% off all items. Perfect for your gift shopping!","Promotion"
"Exclusive Member Discount","As a valued member, enjoy an additional 20% off your next purchase with code MEMBER20.","Promotion"
"Flash Sale Alert","Flash sale! Get 30% off on all electronics for the next 6 hours. Shop now!","Promotion"
"End of Season Clearance","Take advantage of our end of season clearance with discounts up to 70% on all items.","Promotion"
"Buy One, Get One Free","Limited time offer: Buy one, get one free on selected items. Don't miss this deal!","Promotion"
"Welcome Offer","Welcome! Enjoy 15% off your first purchase with us. Use code WELCOME15 at checkout.","Promotion"
"Weekend Sale","This weekend only, enjoy 20% off store-wide. Shop your favorites now!","Promotion"
"Anniversary Sale","Celebrate our anniversary with us and get 25% off all purchases. Thank you for your support!","Promotion"
"Customer Appreciation Sale","As a thank you, we're giving you 30% off your next order. Use code THANKYOU at checkout.","Promotion"
"Mid-Year Sale","Don't miss our mid-year sale with discounts up to 50% on all items. Shop now!","Promotion"
"Back to School Sale","Get ready for the new school year with our back to school sale. Up to 40% off on all essentials.","Promotion"
"Spring Clearance Event","Spring clearance event: Up to 60% off on all seasonal items. Limited time only!","Promotion"
"Exclusive Online Offer","Shop online and get an exclusive 20% discount on your order. Use code ONLINE20 at checkout.","Promotion"
"VIP Sale Event","VIPs only! Enjoy early access to our sale with discounts up to 50%. Shop now and save!","Promotion"
"Project Status Update","The development team has completed the first milestone of the project. We are on track to meet the deadline.","Update"
"Software Update Available","A new update for our software is now available. Please download and install the latest version.","Update"
"Policy Update","We have updated our privacy policy. Please review the changes on our website to stay informed about how we handle your data.","Update"
"Account Update Notification","Your account information has been successfully updated. Please review your account details.","Update"
"Service Update","Our service will undergo scheduled maintenance tonight from 12 AM to 2 AM. We apologize for any inconvenience.","Update"
"Feature Update","We have added new features to our platform to enhance your experience. Check out the details in the attached document.","Update"
"System Update","The system update has been completed successfully. All services are now operational.","Update"
"Team Update","We are pleased to announce that John Doe has joined our team as the new Marketing Manager.","Update"
"Security Update","A new security update has been released. Please update your systems to ensure continued protection.","Update"
"Website Update","We have redesigned our website to improve user experience. Explore the new features and layout!","Update"
"Billing Update","Your billing information has been updated successfully. Please review your account for details.","Update"
"Event Update","The venue for the upcoming conference has been changed. Please check the new location details.","Update"
"Schedule Update","The meeting schedule has been updated. Please review the new timings and adjust your plans accordingly.","Update"
"Shipment Update","Your order has been shipped and is on its way. Track your shipment with the tracking number provided.","Update"
"Employee Update","We are excited to welcome new employees to our team. Meet them at the upcoming team meeting.","Update"
"Application Update","Your application status has been updated. Please log in to your account to see the latest status.","Update"
"Subscription Update","Your subscription has been successfully renewed. Thank you for continuing with us.","Update"
"Performance Update","The performance review period is over. Check your performance summary in your account.","Update"
"Regulatory Update","New regulations have been implemented. Please review the attached document to stay compliant.","Update"
"Product Update","Our latest product update includes several improvements and bug fixes. Download the update now!","Update"
"Invoice Attached","Please find the attached invoice for the recent services provided. The due date for payment is next Friday.","Invoice"
"Monthly Invoice","Attached is your monthly invoice for the services provided in the past month. Please process the payment accordingly.","Invoice"
"Invoice Notification","A new invoice has been generated for your account. Please review the attached invoice document.","Invoice"
"Final Invoice","This is the final invoice for the project. Please review the charges and make the payment by the due date.","Invoice"
"Pending Invoice","You have a pending invoice from last month. Please ensure that it is settled as soon as possible.","Invoice"
"Invoice Reminder","This is a reminder that your invoice is due for payment in 7 days. Please check the attached invoice.","Invoice"
"Correction on Invoice","Please note that there has been a correction made to the previous invoice. The updated invoice is attached.","Invoice"
"Duplicate Invoice","It appears that there was a duplication error with the previous invoice. Please find the corrected invoice attached.","Invoice"
"Invoice Update","We have updated the billing details on your invoice. Please review the changes in the attached document.","Invoice"
"Urgent Invoice Payment","This is an urgent notice regarding your overdue invoice. Immediate payment is required to avoid service interruption.","Invoice"
"Invoice Payment Confirmation","We have received your payment for the attached invoice. Thank you for your prompt response.","Invoice"
"Annual Service Invoice","Attached is your annual service invoice. Please review and proceed with the payment at your earliest convenience.","Invoice"
"Revised Invoice","Attached is the revised invoice reflecting the adjustments made. Please review and settle the balance.","Invoice"
"Invoice Due Soon","Your upcoming invoice is due soon. Please check the attached document for payment instructions.","Invoice"
"Invoice Dispute","We have noted your concerns regarding the attached invoice. Please contact our billing department to discuss further.","Invoice"
"Detailed Invoice","The detailed invoice for your recent purchases/services is attached. Please review and process the payment.","Invoice"
"Invoice Query","If you have any questions regarding the attached invoice, please do not hesitate to contact us for clarification.","Invoice"
"Invoice Processing Delay","Due to unforeseen circumstances, there has been a delay in processing your invoice. We will update you once processed.","Invoice"
"Bulk Invoice Summary","Attached is a summary of all invoices processed for bulk transactions this month. Please review the attached document.","Invoice"
"Corrective Invoice","This invoice has been issued to correct the discrepancies found in the previous invoice. Please refer to the attached details.","Invoice"
"Subscription Renewal Notice","Your annual subscription is due for renewal on June 30th. Please review the details and proceed with the payment.","Subscription"
"Subscription Confirmation","Thank you for subscribing to our service. Your subscription has been activated successfully.","Subscription"
"Subscription Expiry Warning","Your subscription will expire in 7 days. Please renew to continue enjoying uninterrupted service.","Subscription"
"Trial Period Ending","Your free trial period will end soon. Consider subscribing to continue accessing premium features.","Subscription"
"Subscription Payment Due","This is a reminder that your subscription payment is due soon. Please process the payment to avoid disruption.","Subscription"
"Subscription Confirmation Email","We have confirmed your subscription to our premium plan. Enjoy the enhanced features!","Subscription"
"Annual Subscription Invoice","Attached is your invoice for the annual subscription. Please review and complete the payment by the due date.","Subscription"
"Subscription Cancellation Confirmation","Your subscription has been canceled as per your request. We hope to serve you again in the future.","Subscription"
"Subscription Upgrade Available","Great news! You are eligible for an upgrade to our premium subscription plan. Enjoy additional benefits.","Subscription"
"Subscription Feedback Request","We value your feedback on your subscription experience. Please take a moment to complete our survey.","Subscription"
"Payment Successful","Thank you for renewing your subscription. Your payment has been successfully processed.","Subscription"
"Subscription Downgrade Confirmation","Your subscription has been downgraded as requested. Please review the changes in your account settings.","Subscription"
"Discount on Subscription Renewal","Renew your subscription now and receive a 10% discount. Use promo code RENEW10 at checkout.","Subscription"
"Subscription Renewal Reminder","Reminder: Your subscription will expire soon. Please renew to continue enjoying our services.","Subscription"
"Subscription Reactivation Offer","We miss you! Reactivate your subscription with a 15% discount using code REACTIVATE15.","Subscription"
"Subscription Terms Update","Please review the updated terms and conditions for your subscription. Changes are effective immediately.","Subscription"
"Billing Issue with Subscription","We encountered an issue processing your subscription payment. Please update your billing information.","Subscription"
"New Subscription Feature","Explore our new subscription feature designed to enhance your experience. Learn more on our website.","Subscription"
"Subscription Anniversary Offer","Celebrate your subscription anniversary with a special offer! Enjoy 20% off your next renewal.","Subscription"
"Early Renewal Incentive","Renew your subscription early and receive an exclusive gift. Details in the attached email.","Subscription"
"Action Required: Account Verification","We noticed unusual activity on your account. Please verify your identity by clicking on the link below to secure your account.","Urgent"
"Immediate Attention Needed","There is a critical update required for your system. Please apply the update immediately to avoid potential security risks.","Urgent"
"Urgent: Security Breach Detected","We have detected a security breach in your account. Please log in immediately and secure your account.","Urgent"
"Time-Sensitive: Update Required","A time-sensitive update for your software is available. Please download and install the update to maintain security.","Urgent"
"Critical: Service Interruption","Our service is experiencing an unexpected interruption. Our team is working to resolve this issue as quickly as possible.","Urgent"
"Action Required: Payment Overdue","Your recent payment is overdue. Immediate payment is required to avoid further actions.","Urgent"
"Urgent: Data Backup Needed","Please back up your data immediately to avoid potential data loss. Contact support for assistance if needed.","Urgent"
"Immediate Response Required","We need your immediate response regarding your recent transaction. Please contact customer service without delay.","Urgent"
"Urgent: Account Recovery","Please contact our support team immediately to recover your account access. Do not delay, as your account security is at risk.","Urgent"
"Critical Update: Compliance Alert","A critical compliance update has been issued. Please review the attached document and implement the changes as soon as possible.","Urgent"
"Urgent: Network Security Issue","There is a security issue with your network. Please apply the necessary patches and contact IT support immediately.","Urgent"
"Immediate Action Needed: System Alert","Your system has triggered an alert. Immediate action is required to address the potential issue.","Urgent"
"Urgent: Hardware Malfunction","We have detected a malfunction in your hardware. Please contact support for immediate assistance.","Urgent"
"Time-Sensitive Compliance Issue","A time-sensitive compliance issue has arisen. Please address this matter immediately to avoid penalties.","Urgent"
"Urgent: Account Suspension Warning","Your account will be suspended soon due to inactivity. Please log in and confirm your account details.","Urgent"
"Immediate Attention Required: Policy Update","Please review the urgent policy updates that have been implemented. Compliance is mandatory.","Urgent"
"Critical Notification: Data Integrity","A data integrity issue has been detected. Please verify and secure your data immediately.","Urgent"
"Urgent: Software Vulnerability Found","A software vulnerability has been identified. Please apply the security patch immediately to secure your system.","Urgent"
"Urgent: Customer Support Needed","Please contact customer support immediately regarding your recent service issue. Your prompt response is needed.","Urgent"
